Soft Skills,Hard Skills
,"ETL, "
,Informatica 
,IDQ
,MDM
,CDC
,Power exchange
,Data Mapping
,Data Profiling
,Talend
,ETL
,Talend Administration Console
,Big Data
,SQL
,tAggregateRow
,tFixedFlowInput
,tFlowToIterate 
,tMSSqlInput
,tMSSqlRow
,WEBLOGIC
,APACHE TOMCAT
,AWS
,OPENSHIFT 
,DOCKER
,JBOSS
, QualityAnalyst
, QA
, Testing
, Manual
, Automation
, Selenium
, Cucumber
, QTP
, JIRA
, HP ALM 
, Quality Center
, JUnit
, JMeter
, Testing
, QuickTest Professional 
